Timestamp,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19
2019/10/25 2:05:08 PM EST,Sophomore,20,STEM majors,No,Female,Yes,Stock;Saving account,Rates of return;Risk manageable,"Social media/Youtube;Online advertisements;Bank recommend(Text messages, phone calls, etc);Parents/family members",Yes,Not Sure,3,Yes,Not Sure,Partially,Yes,$500 - $1000,< $500,5% - 10%
2019/10/25 2:07:57 PM EST,Junior,20,Political science ,Yes,Male,No,Stock,Rates of return;Risk manageable;Easy management,Social media/Youtube;Friends recommend;Online advertisements;TV,Maybe,No,1,Yes,Seminar;Webinar;Investment mobile app,No,Yes,< $500,< $500,5% - 10%
2019/10/25 2:31:50 PM EST,Graduate program,22,STEM majors,Yes,Male,Yes,Stock;Fund;Insurance,Rates of return;Risk manageable,"Newspaper/magazine;TV;Bank recommend(Text messages, phone calls, etc)",Yes,Yes,3,Yes,Seminar;Youtube tutorials,Yes,No,< $500,$500 - $1000,10% - 15%
2019/10/25 3:03:07 PM EST,Senior,20,STEM majors,Yes,Male,Yes,Stock;Fund,Rates of return;Risk manageable;Easy entrance;Easy management,Friends recommend;Parents/family members,Maybe,Yes,4,Yes,Seminar;Webinar;Investment mobile app;Youtube tutorials;Social media influencers,Yes,No,$500 - $1000,$500 - $1000,<5%
2019/10/25 5:43:50 PM EST,Junior,22,STEM majors,No,Male,Yes,Fund,Rates of return;Risk manageable;Easy entrance;Easy management,Social media/Youtube;Friends recommend,No,No,2,Yes,Seminar;Webinar;Youtube tutorials,No,Yes,$500 - $1000,< $500,<5%
2019/10/25 6:11:41 PM EST,Graduate program,20,STEM majors,Yes,Female,Yes,Stock;Fund;Insurance,Rates of return;Risk manageable,"Social media/Youtube;Online advertisements;Bank recommend(Text messages, phone calls, etc)",No,Yes,3,Yes,Investment mobile app;Social media influencers,Yes,No,$1000 - $ 2000,< $500,<5%
2019/10/25 6:16:41 PM EST,Graduate program,108,STEM majors,Yes,Male,Yes,Insurance,Easy entrance,Friends recommend,Maybe,Not Sure,5,No,Youtube tutorials,Yes,Yes,< $500,< $500,10% - 15%
2019/10/25 6:26:40 PM EST,Graduate program,21,Other,Yes,Female,Yes,Fund,Risk manageable,Friends recommend,Yes,No,5,No,Investment mobile app,No,Yes,$500 - $1000,$500 - $1000,10% - 15%
2019/10/25 6:34:09 PM EST,Graduate program,24,"Literature, language and social science majors",Yes,Female,Yes,Stock;Fund,Rates of return;Risk manageable,"Bank recommend(Text messages, phone calls, etc);Parents/family members",No,Yes,4,Yes,Seminar,No,No,$1000 - $ 2000,$1000 - $2000,<5%
2019/10/25 7:06:00 PM EST,Graduate program,24,Other,Yes,Male,Yes,Stock;Fund;Bond,Rates of return;Risk manageable,Newspaper/magazine,Yes,No,3,Yes,Seminar;Webinar,Yes,No,$500 - $1000,$500 - $1000,>20%
2019/10/25 7:12:30 PM EST,Senior,21,STEM majors,No,Female,Yes,Stock;Fund;Bond;Insurance;Saving account,Rates of return;Risk manageable;Easy management,Social media/Youtube;Friends recommend;Parents/family members,Maybe,Not Sure,2,Yes,Seminar;Webinar;Investment mobile app;Youtube tutorials;Social media influencers,Yes,No,< $500,< $500,<5%
2019/10/25 8:12:40 PM EST,Graduate program,26,STEM majors,Yes,Female,Yes,Stock;Fund,Rates of return;Risk manageable;Easy entrance;Easy management,Social media/Youtube;Friends recommend,Maybe,No,1,Yes,Investment mobile app,Partially,No,$1000 - $ 2000,$500 - $1000,15% - 20%
2019/10/25 8:19:37 PM EST,Graduate program,22,Business related majors,Yes,Female,Yes,Stock;Saving account,Rates of return;Risk manageable,Newspaper/magazine;Social media/Youtube;TV;Parents/family members,Yes,No,2,Yes,Social media influencers,Yes,No,< $500,< $500,10% - 15%
2019/10/25 9:45:11 PM EST,Graduate program,24,"Literature, language and social science majors",Yes,Male,Yes,Saving account,Risk manageable;Easy management,Social media/Youtube;Friends recommend;Online advertisements,Maybe,Not Sure,3,Yes,Youtube tutorials;Social media influencers,Yes,Prefer not to answer,$500 - $1000,$500 - $1000,5% - 10%
